List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Fiction,2020-01-05,WHERE THE CRAWDADS SING,Delia Owens,67,1,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-01-05,THE GUARDIANS,John Grisham,10,2,Doubleday,0385544189,9780385544184,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-01-05,CRISS CROSS,James Patterson,4,3,"Little, Brown",0316526886,9780316526883,The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.
Combined Print and E-Book Fiction,2020-01-05,THE INSTITUTE,Stephen King,15,4,Scribner,1982110562,9781982110567,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.
Combined Print and E-Book Fiction,2020-01-05,A MINUTE TO MIDNIGHT,David Baldacci,5,5,Grand Central,1538761602,9781538761601,"When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer."
Combined Print and E-Book Fiction,2020-01-05,BLUE MOON,Lee Child,8,6,Delacorte,0399593543,9780399593543,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.
Combined Print and E-Book Fiction,2020-01-05,THE DUTCH HOUSE,Ann Patchett,13,7,Harper,0062963678,9780062963673,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-01-05,THE SILENT PATIENT,Alex Michaelides,14,8,Celadon,1250301696,9781250301697,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-01-05,TWISTED TWENTY-SIX,Janet Evanovich,6,9,Putnam,0399180192,9780399180194,The 26th book in the Stephanie Plum series. A New Jersey gangster’s associates go after a bounty hunter’s widowed grandmother.
Combined Print and E-Book Fiction,2020-01-05,THE TESTAMENTS,Margaret Atwood,13,10,Nan A. Talese/Doubleday,0385543786,9780385543781,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay."
Combined Print and E-Book Fiction,2020-01-05,THE TATTOOIST OF AUSCHWITZ,Heather Morris,60,11,Harper,0062797158,9780062797155,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.
Combined Print and E-Book Fiction,2020-01-05,THE GIVER OF STARS,Jojo Moyes,10,12,Pamela Dorman/Viking,0399562486,9780399562488,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
