List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Fiction,2020-09-27,WHERE THE CRAWDADS SING,Delia Owens,105,6,Putnam,0735219095,9780735219090,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect."
Combined Print and E-Book Fiction,2020-09-13,LITTLE FIRES EVERYWHERE,Celeste Ng,81,15,Penguin Press,0735224315,9780735224315,An artist upends a quiet town outside Cleveland.
Combined Print and E-Book Fiction,2020-05-03,THE TATTOOIST OF AUSCHWITZ,Heather Morris,70,9,Harper,0062797166,9780062797162,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.
Combined Print and E-Book Fiction,2020-02-02,BEFORE WE WERE YOURS,Lisa Wingate,53,13,Ballantine,0425284700,9780425284704,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.
Combined Print and E-Book Fiction,2020-09-06,THE SILENT PATIENT,Alex Michaelides,36,14,Celadon,1250301696,9781250301697,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.
Combined Print and E-Book Fiction,2020-09-27,AMERICAN DIRT,Jeanine Cummins,34,15,Flatiron,1250209765,9781250209764,A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.
Combined Print and E-Book Fiction,2020-05-31,THE WOMAN IN THE WINDOW,AJ Finn,31,14,Morrow,0062905082,9780062905086,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.
Combined Print and E-Book Fiction,2020-05-10,THE DUTCH HOUSE,Ann Patchett,29,15,Harper,0062963694,9780062963697,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.
Combined Print and E-Book Fiction,2020-09-06,THE GUARDIANS,John Grisham,26,13,Doubleday,052562094X,9780525620945,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case."
Combined Print and E-Book Fiction,2020-05-17,THE GIVER OF STARS,Jojo Moyes,25,15,Pamela Dorman/Viking,0399562486,9780399562488,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books."
Combined Print and E-Book Fiction,2020-03-15,THE OUTSIDER,Stephen King,18,14,Scribner,None,9781982148249,A detective investigates a seemingly wholesome member of the community when an 11-year-old boy’s body is found.
Combined Print and E-Book Fiction,2020-01-12,THE INSTITUTE,Stephen King,16,3,Scribner,1982110562,9781982110567,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.
Combined Print and E-Book Fiction,2020-09-27,THE VANISHING HALF,Brit Bennett,15,5,Riverhead,0525536299,9780525536291,The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.
Combined Print and E-Book Fiction,2020-09-27,THE GUEST LIST,Lucy Foley,15,9,Morrow,0062868950,9780062868954,A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.
Combined Print and E-Book Fiction,2020-08-16,CAMINO WINDS,John Grisham,14,14,Doubleday,0385545932,9780385545938,The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.
Combined Print and E-Book Fiction,2020-01-12,THE TESTAMENTS,Margaret Atwood,14,9,Nan A. Talese/Doubleday,0385543786,9780385543781,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay."
Combined Print and E-Book Fiction,2020-05-31,BLUE MOON,Lee Child,13,11,Delacorte,039959356X,9780399593567,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.
Combined Print and E-Book Fiction,2020-09-20,28 SUMMERS,Elin Hilderbrand,12,15,"Little, Brown",None,9780316420051,A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.
Combined Print and E-Book Fiction,2020-09-20,THEN SHE WAS GONE,Lisa Jewell,10,14,Atria,1501154656,9781501154652,"Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions."
Combined Print and E-Book Fiction,2020-09-27,SUCH A FUN AGE,Kiley Reid,10,14,Putnam,0525541926,9780525541929,Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.
Combined Print and E-Book Fiction,2020-06-21,NORMAL PEOPLE,Sally Rooney,10,14,Hogarth,1984822187,9781984822185,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.
