book_id,Primary_ISBN_10,Primary_ISBN_13,Author,original_publication_year,original_title,Title,Average_Rating,Rating Count,Whole_Rating
2767052,439023483,9780439023480,Suzanne Collins,2008,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",4.34,4780653,4
3,439554934,9780439554930,"J.K. Rowling, Mary GrandPrÃ©",1997,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479,4
41865,316015849,9780316015840,Stephenie Meyer,2005,Twilight,"Twilight (Twilight, #1)",3.57,3866839,4
2657,61120081,9780061120080,Harper Lee,1960,To Kill a Mockingbird,To Kill a Mockingbird,4.25,3198671,4
4671,743273567,9780743273560,F. Scott Fitzgerald,1925,The Great Gatsby,The Great Gatsby,3.89,2683664,4
11870085,525478817,9780525478810,John Green,2012,The Fault in Our Stars,The Fault in Our Stars,4.26,2346404,4
5907,618260307,9780618260300,J.R.R. Tolkien,1937,The Hobbit or There and Back Again,The Hobbit,4.25,2071616,4
5107,316769177,9780316769170,J.D. Salinger,1951,The Catcher in the Rye,The Catcher in the Rye,3.79,2044241,4
960,1416524797,9781416524790,Dan Brown,2000,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311,4
1885,679783261,9780679783270,Jane Austen,1813,Pride and Prejudice,Pride and Prejudice,4.24,2035490,4
77203,1594480001,9781594480000,Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,4.26,1813044,4
13335037,62024035,9780062024040,Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",4.24,1903563,4
5470,451524934,9780451524940,"George Orwell, Erich Fromm, CelÃ¢l Ãœster",1949,Nineteen Eighty-Four,1984,4.14,1956832,4
7613,452284244,9780452284240,George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,3.87,1881700,4
48855,553296981,9780553296980,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,4.1,1972666,4
2429135,307269752,9780307269750,"Stieg Larsson, Reg Keeland",2005,MÃ¤n som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403,4
6148028,439023491,9780439023500,Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",4.3,1831039,4
5,043965548X,9780439655480,"J.K. Rowling, Mary GrandPrÃ©, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823,5
34,618346252,9780618346260,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,4
7260188,439023513,9780439023510,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",4.03,1719760,4
2,439358078,9780439358070,"J.K. Rowling, Mary GrandPrÃ©",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,4
12232938,316166685,9780316166680,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,3.77,1605173,4
15881,439064864,9780439064870,"J.K. Rowling, Mary GrandPrÃ©",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,4
6,439139600,9780439139600,"J.K. Rowling, Mary GrandPrÃ©",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,5
