Primary_ISBN_13,Average_Rating,Rating Count
9780735219090,4.47,947988
9780735224315,4.10,699769
9780062797162,4.26,455028
9780425284704,4.37,369710
9781250301697,4.09,488662
9781250209764,4.30,163349
9780062905086,3.94,446079
9780062963697,4.12,197950
9780525620945,4.16,62102
9780399562488,4.28,171860
9781982148249,3.98,185719
9781982110567,4.20,122593
9780525536291,4.33,107348
9780062868954,3.88,108198
9780385545938,3.83,30387
9780385543781,4.20,203573
9780399593567,0,0
9780316420051,4.31,45481
9781501154652,4.03,202425
9780525541929,3.85,160233
9781984822185,3.86,391274
9781982137977,4.11,30969
9781538761502,0,0
9780316055086,4.13,186825
9780399590597,4.08,61463
9781538761625,0,0
9780812996548,4.13,54977
9780316457149,0,0
9780345804341,4.28,117310
9780316457484,4.29,33606
9781538748145,4.01,33393
9780062834843,4.19,10281
9780316539555,4.13,9931
9780393356687,4.14,69310
9781982137465,3.87,77119
9780399180194,4.08,29261
9781501133534,3.68,48169
9781594634697,3.64,29959
9781250207104,4.06,16299
9781250207227,4.39,13717
9781982104061,4.28,4147
9780316539425,4.23,16533
9781984854797,4.15,68497
9780316420334,4.09,7236
9780525521143,3.74,46225
9780316420280,4.07,11072
9780385546270,3.43,17741
9781524798635,4.20,264389
9780805096606,4.46,15302
9780316420327,3.97,6243
9780525538233,4.46,8674
9780316418188,3.99,3889
9781524733452,4.29,3854
9780525540694,4.08,42681
9780525429760,4.28,32545
9780525539520,4.16,11707
9781984820150,4.08,30348
9780399179655,4.22,2109
9781538751947,4.14,4004
9781488054358,3.66,81568
9781538718872,3.72,2517
9781629998916,4.83,395
9780316073714,4.11,102911
9780525658429,3.66,19272
9780593188064,4.19,3344
9780062371942,4.13,11605
9781538747254,4.30,9126
9781609455910,3.81,8192
9780399179532,4.02,4429
9781538748084,3.92,5291
9780525620785,3.79,37768
9780399179563,4.04,4464
9780062858917,4.38,9603
9780593083086,4.31,2997
9780143127550,3.86,334056
9781635574043,4.44,75026
9780525658184,4.29,8518
9780451464415,4.23,18785
9780316428163,4.38,4578
9781984819895,4.22,24017
9780062913265,3.80,21415
9781250145253,4.65,10326
9780062973047,4.07,4552
9781984803573,4.10,3415
9780593099827,4.51,1413
9781524745011,4.31,13212
9780735216723,4.21,11901
9781250237279,3.88,26417
9781501193729,4.33,2379
9781250256737,3.94,4953
9781101128671,4.05,73055
9780593099759,4.03,2460
9781984826787,3.93,14482
9780062878373,4.56,8225
9781982138905,3.75,5896
9781524743475,4.37,10009
9780593087893,4.39,1853
9781642632217,0,0
9780062956170,3.73,5285
9780062691996,3.83,4191
9781250119506,3.90,3706
9781982151706,4.12,3299
9780399181375,4.19,3470
9781420146066,4.31,663
9780593083215,3.74,2583
9781501160837,4.39,20081
9780812997439,4.10,5318
9780802148698,3.93,3587
9780593083277,4.12,1953
9781538752388,0,0
9780593101438,4.50,3979
9780399179600,4.20,3879
9780593188316,3.89,1424
9781496718914,3.52,6914
9780593157688,4.33,1210
9780399179631,0,0
9781101986950,3.84,5466
9781984806741,4.07,77970
9780525520597,3.73,8600
9780062886040,4.28,2033
9781250313201,4.39,6806
9781250256928,4.00,9176
9781982123727,4.51,2814
9780399178955,3.71,20122
9780593099803,4.37,2733
9781250207241,4.48,6329
9780440001560,4.43,16558
9781984802408,4.17,1128
9780593128404,3.93,2907
9780062892898,4.23,4534
9781984804457,3.97,3168
9781728215730,0,0
9780765389176,4.08,13262
9781982131913,4.45,8083
9780399181900,3.16,21977
9780316509848,4.05,17098
9781488052293,4.30,6341
9781250204523,4.53,2095
9781501195082,4.34,3276
9781984880512,3.83,9498
9780525658665,3.80,9365
9780062356345,4.22,3538
9781488055959,4.02,3202
9780802148537,4.10,32907
9780399590917,3.85,15872
9781538700723,0,0
9780593099773,4.51,2611
9781250140319,3.96,3781
9780593083246,3.99,3933
9781524745172,4.20,32894
9781488055447,4.28,30409
9780062855381,4.09,1835
9781538751152,0,0
9781984806451,3.86,4434
9781501195099,4.39,7677
9781642631395,0,0
9781488099601,3.72,31179
9780593100837,3.90,13239
9780062671189,4.18,10195
9780525618539,3.96,7078
9780062941503,4.05,65685
9781250229847,4.42,17017
9780062914132,3.95,8036
9781982146955,4.12,4199
9781501188817,3.75,9750
9780593098929,4.45,4450
9781250142917,4.12,3639
9781250202031,3.76,33526
9780399590504,4.47,780331
9780062316110,4.42,490849
9781524763138,4.53,550228
9780399588198,4.45,381883
9780812993547,4.40,230960
9780143034759,4.21,126651
9780812984965,4.59,139590
9780525431992,4.42,163984
9780316478526,4.04,128806
9781328663047,4.37,119313
9781984801258,4.16,100822
9780385348713,4.23,38566
9780807047415,4.32,89998
9780804190114,4.20,39845
9781501168697,3.76,13415
9780374201234,4.25,5031
9780525509288,4.43,54262
9781501111129,4.09,68080
9780525521952,4.49,20930
9780143127741,4.49,36453
9780062319791,4.13,151909
9781476740201,3.91,77956
9780385539302,4.31,29134
9781580058827,4.53,59475
9780307279286,4.42,41334
9781250147608,4.32,32920
9780525575474,4.36,9315
9780143036494,3.99,27190
9780316486637,4.45,62546
9780735225312,4.16,15151
9781501178412,4.14,2958
9780062899965,4.14,41710
9781728209807,4.38,13222
9781982141462,3.93,43131
9781439187029,3.91,35752
9781620971932,4.48,71937
9780525540533,4.16,2040
9781568585987,4.51,17976
9781546086031,3.95,1879
9780062952394,4.45,14042
9781984877499,4.03,10864
9781586422387,4.08,11529
9781631494536,4.47,13793
9780385543767,4.16,24276
9781538733301,4.54,2967
9780062897909,4.25,1231
9780735214484,4.17,22133
9781538718469,3.89,9819
9780593230251,4.64,7399
