List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Nonfiction,2020-01-05,EDUCATED,Tara Westover,96,1,Random House,0399590501,9780399590504,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university."
Combined Print and E-Book Nonfiction,2020-01-05,BECOMING,Michelle Obama,55,2,Crown,1524763136,9781524763138,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent."
Combined Print and E-Book Nonfiction,2020-01-05,TALKING TO STRANGERS,Malcolm Gladwell,15,3,"Little, Brown",0316478520,9780316478526,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.
Combined Print and E-Book Nonfiction,2020-01-05,ME,Elton John,10,4,Holt,1250147603,9781250147608,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles."
Combined Print and E-Book Nonfiction,2020-01-05,SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade,7,5,Sentinel,0525540539,9780525540533,"The ""Fox & Friends” host gives an account of the battle against the Mexican Army in 1836."
Combined Print and E-Book Nonfiction,2020-01-05,A WARNING,Anonymous,5,6,Twelve,1538718464,9781538718469,A senior official in the Trump administration offers an assessment of the president and makes a moral appeal.
Combined Print and E-Book Nonfiction,2020-01-05,THE BODY,Bill Bryson,10,7,Doubleday,0385539304,9780385539302,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong."
Combined Print and E-Book Nonfiction,2020-01-05,I HEARD YOU PAINT HOUSES,Charles Brandt,7,8,Steerforth,1586422383,9781586422387,"A World War II veteran works for a crime boss and comes into contact with the union boss Jimmy Hoffa. The basis of the movie ""The Irishman."""
Combined Print and E-Book Nonfiction,2020-01-05,MOBITUARIES,Mo Rocca and Jonathan Greenberg,2,9,Simon & Schuster,1501197622,9781501197628,The humorist spotlights frequently unnoticed aspects of deceased celebrities and historical figures.
Combined Print and E-Book Nonfiction,2020-01-05,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,1,10,Penguin,014313356X,9780143133568,"Speeches by the Swedish climate activist, including her address to the United Nations."
Combined Print and E-Book Nonfiction,2020-01-05,TRIGGERED,Donald Trump Jr,7,11,Center Street,154608603X,9781546086031,Forays into politics and views on liberals from the executive vice president of the Trump Organization.
Combined Print and E-Book Nonfiction,2020-01-05,FINDING CHIKA,Mitch Albom,7,12,Harper,0062952390,9780062952394,Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.
