List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description
Combined Print and E-Book Nonfiction,2020-09-13,EDUCATED,Tara Westover,125,10,Random House,0399590501,9780399590504,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university."
Combined Print and E-Book Nonfiction,2020-06-07,SAPIENS,Yuval Noah Harari,106,14,Harper,0062316117,9780062316110,How Homo sapiens became Earth’s dominant species.
Combined Print and E-Book Nonfiction,2020-09-06,BECOMING,Michelle Obama,85,9,Crown,1524763136,9781524763138,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent."
Combined Print and E-Book Nonfiction,2020-09-20,BORN A CRIME,Trevor Noah,72,15,Spiegel & Grau,0399588191,9780399588198,A memoir about growing up biracial in apartheid South Africa by the host of “The Daily Show.”
Combined Print and E-Book Nonfiction,2020-09-13,BETWEEN THE WORLD AND ME,Ta-Nehisi Coates,70,9,Spiegel & Grau,0812993543,9780812993547,"Winner of the 2015 National Book Award for nonfiction. A meditation on race in America as well as a personal story, framed as a letter to the author's teenage son."
Combined Print and E-Book Nonfiction,2020-08-02,ALEXANDER HAMILTON,Ron Chernow,64,6,Penguin,0143034758,9780143034759,A biography of the first Treasury secretary. The basis of the Tony Award-winning Broadway musical.
Combined Print and E-Book Nonfiction,2020-09-20,JUST MERCY,Bryan Stevenson,40,14,Spiegel & Grau,081298496X,9780812984965,A law professor and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.
Combined Print and E-Book Nonfiction,2020-02-16,BAD BLOOD,John Carreyrou,40,13,Knopf,0525431993,9780525431992,"The rise and fall of Theranos, the biotech startup that failed to deliver on its promise to make blood testing more efficient."
Combined Print and E-Book Nonfiction,2020-04-19,TALKING TO STRANGERS,Malcolm Gladwell,30,15,"Little, Brown",0316478520,9780316478526,Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.
Combined Print and E-Book Nonfiction,2020-04-19,MAYBE YOU SHOULD TALK TO SOMEONE,Lori Gottlieb,29,14,Houghton Mifflin Harcourt,1328663043,9781328663047,A psychotherapist gains unexpected insights when she becomes another therapist’s patient.
Combined Print and E-Book Nonfiction,2020-09-27,UNTAMED,Glennon Doyle,27,9,Dial,1984801252,9781984801258,The activist and public speaker describes her journey of listening to her inner voice.
Combined Print and E-Book Nonfiction,2020-09-13,THE SPLENDID AND THE VILE,Erik Larson,26,15,Crown,0385348711,9780385348713,An examination of the leadership of the prime minister Winston Churchill.
Combined Print and E-Book Nonfiction,2020-09-27,WHITE FRAGILITY,Robin DiAngelo,25,13,Beacon Press,0807047414,9780807047415,Historical and cultural analyses on what causes defensive moves by white people and how this inhibits cross-racial dialogue.
Combined Print and E-Book Nonfiction,2020-08-16,ON TYRANNY,Timothy Snyder,23,3,Tim Duggan,0804190119,9780804190114,Twenty lessons from the 20th century about the course of tyranny.
Combined Print and E-Book Nonfiction,2020-01-19,THE PIONEERS,David McCullough,20,10,Simon & Schuster,None,9781501168697,The Pulitzer Prize-winning historian tells the story of the settling of the Northwest Territory through five main characters.
Combined Print and E-Book Nonfiction,2020-06-07,THE MAMBA MENTALITY,Kobe Bryant,20,13,"Melcher Media/MCD/Farrar, Straus & Giroux",0374201234,9780374201234,Various skills and techniques used on the court by the late Los Angeles Lakers player.
Combined Print and E-Book Nonfiction,2020-09-27,HOW TO BE AN ANTIRACIST,Ibram X Kendi,20,12,One World,0525509283,9780525509288,A primer for creating a more just and equitable society through identifying and opposing racism.
Combined Print and E-Book Nonfiction,2020-05-31,GRIT,Angela Duckworth,19,12,Scribner,1501111124,9781501111129,A psychologist argues that passion and perseverance are the keys to success.
Combined Print and E-Book Nonfiction,2020-06-14,GRANT,Ron Chernow,19,11,Penguin Press,052552195X,9780525521952,A biography of the Union general of the Civil War and two-term president of the United States.
Combined Print and E-Book Nonfiction,2020-06-07,THE BODY KEEPS THE SCORE,Bessel van der Kolk,17,12,Penguin,0143127748,9780143127741,"How trauma affects the body and mind, and innovative treatments for recovery."
Combined Print and E-Book Nonfiction,2020-08-16,I'LL BE GONE IN THE DARK,Michelle McNamara,16,13,Harper,0062319795,9780062319791,"The late true-crime journalist's search for the serial murderer and rapist known as ""the Golden State Killer."""
Combined Print and E-Book Nonfiction,2020-06-07,THE LIBRARY BOOK,Susan Orlean,16,10,Simon & Schuster,1476740208,9781476740201,The story of the 1986 fire at the Los Angeles Public Library provides a backdrop to the evolution and purpose of libraries.
Combined Print and E-Book Nonfiction,2020-02-16,THE BODY,Bill Bryson,15,14,Doubleday,0385539304,9780385539302,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong."
Combined Print and E-Book Nonfiction,2020-09-13,SO YOU WANT TO TALK ABOUT RACE,Ijeoma Oluo,15,13,Seal,1580058825,9781580058827,A look at the contemporary racial landscape of the United States.
Combined Print and E-Book Nonfiction,2020-04-12,SAY NOTHING,Patrick Radden Keefe,14,15,Doubleday,0307279286,9780307279286,A look at the conflict in Northern Ireland known as the Troubles.
Combined Print and E-Book Nonfiction,2020-01-26,ME,Elton John,13,14,Holt,1250147603,9781250147608,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles."
Combined Print and E-Book Nonfiction,2020-01-12,BLOWOUT,Rachel Maddow,13,11,Crown,0525575472,9780525575474,The MSNBC host argues that the global oil and gas industry has weakened democracies and bolstered authoritarians.
Combined Print and E-Book Nonfiction,2020-06-14,THE GREAT INFLUENZA,John M Barry,12,9,Penguin,0143036491,9780143036494,An overview of the 1918 flu epidemic and cautionary tale for similar kinds of large-scale outbreaks.
Combined Print and E-Book Nonfiction,2020-02-16,CATCH AND KILL,Ronan Farrow,11,15,"Little, Brown",0316486639,9780316486637,The Pulitzer Prize-winning reporter details some surveillance and intimidation tactics used to pressure journalists and elude consequences by certain wealthy and connected men.
Combined Print and E-Book Nonfiction,2020-06-14,A WOMAN OF NO IMPORTANCE,Sonia Purnell,11,14,Viking,0735225311,9780735225312,The true story of a Baltimore socialite who joined a spy organization during World War II and became essential to the French Resistance.
Combined Print and E-Book Nonfiction,2020-01-12,THE BOOK OF GUTSY WOMEN,Hillary Rodham Clinton and Chelsea Clinton,10,15,Simon & Schuster,1501178415,9781501178412,Profiles of women from around the world who have blazed trails and challenged the status quo.
